Youtube_id,Youtube_link,Title,Sentiment,Score
LZFu_j90GKg, https://www.youtube.com/watch?v=LZFu_j90GKg,Baltimore bridge collapse: Clean-up underway  massive crane arrives | WION,Negative,-7.46
vuXkFrr5WW0, https://www.youtube.com/watch?v=vuXkFrr5WW0,Turkey elections: Opposition sweeps Turkiye local polls | WION,Positive,3.51
5Ni1jJXw290, https://www.youtube.com/watch?v=5Ni1jJXw290,Russia-Ukraine War: War in Ukraine changing gears? | WION World DNA,Negative,-7.63
N1L5KDs-dnQ, https://www.youtube.com/watch?v=N1L5KDs-dnQ,UAE deal helps Egypt's economy | World Business Watch | WION,Positive,6.57
itA8voQKQsE, https://www.youtube.com/watch?v=itA8voQKQsE,US: Police criticised for 'delayed' response to violence | WION,Positive,3.42
bgfN4SRF-qg, https://www.youtube.com/watch?v=bgfN4SRF-qg,Why banana wine production is flourishing in Malawi | BBC News,Negative,-3.15
LZFu_j90GKg, https://www.youtube.com/watch?v=LZFu_j90GKg,Baltimore bridge collapse: Clean-up underway  massive crane arrives | WION,Negative,-7.46
vuXkFrr5WW0, https://www.youtube.com/watch?v=vuXkFrr5WW0,Turkey elections: Opposition sweeps Turkiye local polls | WION,Positive,3.51
N1L5KDs-dnQ, https://www.youtube.com/watch?v=N1L5KDs-dnQ,UAE deal helps Egypt's economy | World Business Watch | WION,Positive,6.57
IApQnD78UIo, https://www.youtube.com/watch?v=IApQnD78UIo,North Korea sends troops to fight with Russia in Ukraine  Seoul says | BBC News,Negative,-2.27
